تاريخ البيع,إسم المنتج,صنف المنتج,المدينة,السعر (رس),الكمية المباعة,السعر الإجمالي (رس)
2023-09-19,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,جدة,259.65,100,15465.92
2023-09-17,بروش سيفين ونخلة - ( معدن ),هدايا,الرياض,326.47,33,2728.0499999999997
2023-09-21,بكج توزيعات نحلم ونحقق,هدايا,خميس مشيط,83.7,54,26277.77
2023-09-16,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,جدة,168.56,48,8584.08
2023-09-18,كاب بهوية اليوم الوطني 93 - قبعة,هدايا,الرياض,345.88,51,5290.500000000001
2023-09-16,سديري الهوية الوطنية,ملابس,جدة,327.46,57,4255.41
2023-09-18,شال نسائي اليوم الوطني,ملابس,جدة,419.84,27,8500.800000000001
2023-09-16,بروش سيفين ونخلة - ( معدن ),هدايا,خميس مشيط,398.39,18,20383.65
2023-09-19,بشت اليوم الوطني بالاسم,ملابس,الدمام,367.51,91,4050.36
2023-09-22,مجموعة 6 اكياس بهوية اليوم الوطني 93 مقاس 13*11*11 سم,هدايا,خميس مشيط,352.4,62,6610.42
2023-09-18,بشت اليوم الوطني السعودي 93,ملابس,جدة,119.91,69,1489.08
2023-09-16,شال نسائي اليوم الوطني,ملابس,الدمام,424.92,26,16406.5
2023-09-21,شال نسائي اليوم الوطني,ملابس,خميس مشيط,450.28,40,6599.59
2023-09-21,كروت حاملة للورد بشعار اليوم الوطني نحلم ونحقق,هدايا,الرياض,458.07,73,3141.3999999999996
2023-09-22,بشت اليوم الوطني بالاسم,ملابس,الدمام,309.8,41,6461.28
2023-09-19,دقلة اليوم الوطني,ملابس,خميس مشيط,146.57,26,773.97
2023-09-21,عقال مقصب,ملابس,الرياض,119.82,38,7263.12
2023-09-22,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,خميس مشيط,71.25,72,21503.44
2023-09-16,عقال رجالي مقصب,ملابس,جدة,180.15,9,18115.780000000002
2023-09-20,لوقو اكريليك شعار اليوم الوطني93 (درزن عدد 12 قطعة),هدايا,جدة,223.0,44,18177.36
2023-09-22,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,الدمام,316.48,100,4791.5
2023-09-20,عقال رجالي مقصب,ملابس,خميس مشيط,287.05,36,11758.599999999999
2023-09-16,تيشرت نحلم ونحقق,ملابس,الدمام,162.61,82,36755.810000000005
2023-09-16,بشت اليوم الوطني بالاسم,ملابس,جدة,306.12,45,30040.5
2023-09-22,بربتوز ولادي اليوم الوطني 93,ملابس,جدة,128.92,58,234.69
2023-09-22,شال اليوم الوطني (نحلم ونحقق),ملابس,الدمام,479.95,23,4389.12
2023-09-17,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,جدة,168.84,60,5352.36
2023-09-15,سديري الهوية الوطنية,ملابس,الدمام,387.16,6,16763.04
2023-09-16,بشت اليوم الوطني,ملابس,الدمام,441.62,27,27550.53
2023-09-20,سديري الهوية الوطنية,ملابس,الدمام,362.86,14,18940.219999999998
2023-09-21,سديري اليوم الوطني بالاسم,ملابس,جدة,405.22,37,36032.28
2023-09-15,جاكيت ولادي او بناتي اليوم الوطني 93,ملابس,خميس مشيط,103.35,87,10218.04
2023-09-21,لوقو اكريليك دائري لليوم الوطني93 (درزن عدد 12 قطعة),هدايا,خميس مشيط,433.38,14,7879.38
2023-09-18,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,جدة,352.39,13,7898.200000000001
2023-09-22,بالونات اليوم الوطني 93 - 6 بالون أخضر,هدايا,خميس مشيط,350.08,84,14234.22
2023-09-17,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,الدمام,160.72,56,10054.880000000001
2023-09-19,شال نسائي اليوم الوطني,ملابس,الدمام,371.92,56,25305.28
2023-09-18,سديري الهوية الوطنية,ملابس,خميس مشيط,432.5,23,640.89
2023-09-17,بشت اليوم الوطني بالاسم,ملابس,جدة,121.57,12,32716.35
2023-09-19,بشت اليوم الوطني السعودي 93,ملابس,الدمام,141.7,9,31824.33
2023-09-15,توزيعات شنطة الأناقة,هدايا,الدمام,375.1,56,4215.87
2023-09-17,شال اليوم الوطني (هيا لنا دار),ملابس,الدمام,172.55,91,34873.0
2023-09-19,شال اليوم الوطني السعودي 93 - الدرعية والعلا ( وشاح قماشي ),ملابس,خميس مشيط,203.52,21,24086.3
2023-09-16,دقلة اليوم الوطني (اسود),ملابس,خميس مشيط,308.31,34,12081.94
2023-09-17,شال اليوم الوطني (هيا لنا دار),ملابس,خميس مشيط,367.89,4,10588.0
2023-09-15,توزيعات شنطة الأناقة,هدايا,الدمام,161.84,33,6808.32
2023-09-21,بروش علم السعودية - ( معدن ),هدايا,الرياض,67.49,84,6477.02
2023-09-15,مجموعة 6 اكياس بهوية اليوم الوطني 93 مقاس 13*11*11 سم,هدايا,خميس مشيط,484.79,58,14957.76
2023-09-16,مجموعة 6 بوكسات,هدايا,الرياض,366.42,2,3451.34
2023-09-16,بشت اليوم الوطني مع اضافه الاسم,ملابس,الرياض,363.63,43,13864.32
2023-09-20,بشت اليوم الوطني,ملابس,خميس مشيط,467.01,59,24181.5
2023-09-21,مجموعة 6 اكياس بهوية اليوم الوطني 93 مقاس 13*11*11 سم,هدايا,الرياض,338.32,20,17886.18
2023-09-21,سديري الهوية الوطنية,ملابس,جدة,157.86,4,1139.15
2023-09-16,بشت اليوم الوطني السعودي 93,ملابس,جدة,284.96,61,47265.189999999995
2023-09-21,توزيعات شنطة الأناقة,هدايا,الدمام,71.86,1,8195.16
2023-09-20,بشت اليوم الوطني,ملابس,خميس مشيط,129.49,38,21087.48
2023-09-21,دقلة اليوم الوطني,ملابس,الرياض,407.38,18,34136.6
2023-09-16,دقلة اليوم الوطني,ملابس,الرياض,432.95,57,2172.6099999999997
2023-09-18,بكج توزيعات نحلم ونحقق,هدايا,جدة,147.05,45,6354.740000000001
2023-09-16,شال نسائي اليوم الوطني,ملابس,خميس مشيط,76.98,81,10287.2
2023-09-15,شال اليوم الوطني (هيا لنا دار),ملابس,الدمام,331.85,68,4456.27
2023-09-18,كروت حاملة للورد بشعار اليوم الوطني نحلم ونحقق,هدايا,الدمام,182.5,79,31955.73
2023-09-15,بشت اليوم الوطني بالاسم,ملابس,الدمام,368.0,94,6892.41
2023-09-22,سديري اليوم الوطني بالاسم,ملابس,خميس مشيط,433.84,33,15916.6
2023-09-17,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,جدة,437.42,68,4707.610000000001
2023-09-19,جاكيت اطفال اليوم الوطني,ملابس,الدمام,220.42,94,36627.04
2023-09-20,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,جدة,229.54,21,2926.68
2023-09-20,دقلة اليوم الوطني,ملابس,الدمام,148.62,30,6258.6
2023-09-16,سديري اليوم الوطني بالاسم,ملابس,جدة,216.2,10,29548.800000000003
2023-09-22,كوب قهوة - جيش التوحيد - اليوم الوطني السعودي,هدايا,الرياض,200.32,57,11979.4
2023-09-21,بكج توزيعات نحلم ونحقق,هدايا,الرياض,308.53,4,40450.35
2023-09-21,وشاح أخضر مطبوع بشعار اليوم الوطني93 نحلم ونحقق,ملابس,الدمام,286.61,90,26374.88
2023-09-22,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,الدمام,258.98,21,1480.6499999999999
2023-09-21,لوقو اكريليك شعار اليوم الوطني93 (درزن عدد 12 قطعة),هدايا,خميس مشيط,308.28,27,20670.75
2023-09-22,مجموعة 6 بوكسات,هدايا,الدمام,289.15,21,9351.0
2023-09-20,بالونات اليوم الوطني 93 - 6 بالون منوع,هدايا,الدمام,201.37,2,1713.74
2023-09-21,دقلة اليوم الوطني,ملابس,الرياض,51.76,61,47001.78
2023-09-17,سديري الهوية الوطنية,ملابس,الرياض,355.51,89,2027.52
2023-09-15,جاكيت اطفال اليوم الوطني,ملابس,الرياض,118.58,90,4997.88
2023-09-17,جاكيت ولادي او بناتي اليوم الوطني 93,ملابس,خميس مشيط,129.92,86,15356.59
2023-09-19,بكج توزيعات نحلم ونحقق,هدايا,الدمام,295.85,79,21032.96
2023-09-16,شال نسائي اليوم الوطني,ملابس,خميس مشيط,93.94,99,14474.960000000001
2023-09-21,فستان اليوم الوطني السعودي 93,ملابس,جدة,244.17,17,12134.6
2023-09-20,لوقو اكريليك دائري لليوم الوطني93 (درزن عدد 12 قطعة),هدايا,خميس مشيط,496.78,17,9163.42
2023-09-19,جاكيت اطفال اليوم الوطني,ملابس,جدة,411.66,20,23484.84
2023-09-15,كوب قهوة - جيش التوحيد - اليوم الوطني السعودي,هدايا,خميس مشيط,339.87,42,30746.170000000002
2023-09-16,جاكيت اطفال اليوم الوطني,ملابس,جدة,83.15,80,20998.890000000003
2023-09-18,مجموعة 12 كرت حامل,هدايا,خميس مشيط,455.22,3,18454.12
2023-09-17,مجموعة 6 بوكسات,هدايا,الدمام,498.44,20,24482.43
2023-09-15,بروش علم السعودية - ( معدن ),هدايا,خميس مشيط,272.77,68,13254.36
2023-09-16,بشت اليوم الوطني السعودي 93,ملابس,الرياض,349.27,42,5851.91
2023-09-19,سديري الهوية الوطنية,ملابس,الرياض,84.9,8,8279.85
2023-09-18,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,خميس مشيط,289.33,100,39967.2
2023-09-22,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,خميس مشيط,218.68,48,24234.39
2023-09-16,بشت اليوم الوطني,ملابس,الدمام,206.15,95,1265.04
2023-09-17,أقفاص حلويات بشعار اليوم الوطني نحلم,هدايا,الرياض,133.03,87,2319.71
2023-09-19,سديري اليوم الوطني بالاسم,ملابس,الرياض,312.61,57,20444.8
2023-09-20,سديري الهوية الوطنية,ملابس,الدمام,229.15,56,11953.470000000001
2023-09-16,مجموعة 6 بوكسات,هدايا,جدة,358.65,22,43961.28
2023-09-17,أقفاص حلويات بشعار اليوم الوطني نحلم,هدايا,خميس مشيط,56.84,9,5798.55
2023-09-18,دقلة اليوم الوطني,ملابس,الدمام,303.22,3,21442.44
2023-09-21,كاب بهوية اليوم الوطني 93 - قبعة,هدايا,الرياض,154.44,99,1825.4599999999998
2023-09-16,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,الدمام,484.93,17,233.86
2023-09-17,تيشرت نحلم ونحقق,ملابس,الدمام,53.77,90,14941.16
2023-09-16,سديري الهوية الوطنية,ملابس,الدمام,116.92,50,26588.07
2023-09-20,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,خميس مشيط,469.03,99,35504.37
2023-09-16,بشت اليوم الوطني مزخرف,ملابس,الرياض,477.78,79,7191.18
2023-09-17,وشاح أخضر مطبوع بشعار اليوم الوطني93 نحلم ونحقق,ملابس,الدمام,381.77,17,14703.0
2023-09-16,جاكيت اطفال اليوم الوطني,ملابس,جدة,133.48,98,1906.24
2023-09-17,عقال مقصب,ملابس,خميس مشيط,206.5,76,10248.0
2023-09-18,كوب قهوة - جيش التوحيد - اليوم الوطني السعودي,هدايا,خميس مشيط,358.49,38,2816.19
2023-09-17,بالونات اليوم الوطني 93 - 6 بالون منوع,هدايا,خميس مشيط,149.07,20,3594.31
2023-09-19,دقلة اليوم الوطني,ملابس,جدة,463.04,32,4388.86
2023-09-15,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,الدمام,127.27,5,19011.57
2023-09-16,دقلة اليوم الوطني,ملابس,الرياض,229.76,43,24642.05
2023-09-22,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,جدة,172.49,30,15306.400000000001
2023-09-19,جاكيت اطفال اليوم الوطني,ملابس,خميس مشيط,346.48,99,27392.949999999997
2023-09-17,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,جدة,215.39,70,35149.299999999996
2023-09-19,بالونات همة حتى القمة مجموعة(5 بالون),هدايا,خميس مشيط,343.34,51,2962.96
2023-09-17,شال اليوم الوطني (هيا لنا دار),ملابس,خميس مشيط,86.07,73,3337.3999999999996
2023-09-19,أكياس ميني أبيض بشعار اليوم الوطني93 نحلم ونحقق درزن(مجموعة 12 قطع),هدايا,خميس مشيط,182.08,16,3919.84
2023-09-17,بشت اليوم الوطني,ملابس,الرياض,357.57,64,13959.730000000001
2023-09-17,كروت حاملة للورد بشعار اليوم الوطني نحلم ونحقق,هدايا,خميس مشيط,429.81,89,4325.25
2023-09-20,توزيعات شنطة الأناقة,هدايا,الرياض,247.54,40,7492.05
2023-09-18,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,الدمام,408.46,10,9500.95
2023-09-19,بشت اليوم الوطني مع اضافه الاسم,ملابس,خميس مشيط,204.83,48,6804.25
2023-09-18,مجموعة 6 بوكسات,هدايا,جدة,205.67,47,513.9
2023-09-21,لوقو اكريليك شعار اليوم الوطني93 (درزن عدد 12 قطعة),هدايا,خميس مشيط,320.32,2,26775.84
2023-09-21,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,جدة,440.12,46,6554.25
2023-09-16,شال اليوم الوطني (نحلم ونحقق),ملابس,خميس مشيط,245.48,62,19566.359999999997
2023-09-22,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,الدمام,248.85,32,5877.0599999999995
2023-09-21,بشت اليوم الوطني مع اضافه الاسم,ملابس,جدة,466.04,72,11318.93
2023-09-20,أكياس ميني أبيض بشعار اليوم الوطني93 نحلم ونحقق درزن(مجموعة 12 قطع),هدايا,الدمام,315.19,54,13860.78
2023-09-17,عقال مقصب,ملابس,خميس مشيط,321.45,65,16243.0
2023-09-17,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,خميس مشيط,257.28,98,32717.29
2023-09-18,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,جدة,252.09,51,15393.15
2023-09-22,بشت اليوم الوطني مع اضافه الاسم,ملابس,الدمام,105.99,73,16340.0
2023-09-18,كروت حاملة للورد بشعار اليوم الوطني نحلم ونحقق,هدايا,جدة,348.68,64,853.35
2023-09-21,أقفاص حلويات بشعار اليوم الوطني نحلم,هدايا,جدة,310.81,61,32666.399999999998
2023-09-22,توزيعات شنطة الأناقة,هدايا,الدمام,78.69,72,33510.22
2023-09-15,شال نسائي اليوم الوطني,ملابس,خميس مشيط,343.73,50,20532.420000000002
2023-09-17,سديري ولادي اليوم الوطني 93,ملابس,جدة,243.89,10,14734.3
2023-09-15,بروش علم السعودية - ( معدن ),هدايا,الرياض,137.02,95,31675.56
2023-09-19,مجموعة 6 بوكسات,هدايا,الرياض,414.36,99,15547.769999999999
2023-09-15,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,الدمام,105.79,60,15912.68
2023-09-21,لوقو اكريليك شعار اليوم الوطني93 (درزن عدد 12 قطعة),هدايا,الرياض,263.89,17,14266.109999999999
2023-09-20,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,جدة,252.63,59,9262.76
2023-09-15,دقلة اليوم الوطني (اسود),ملابس,خميس مشيط,239.9,72,20800.44
2023-09-16,أقفاص حلويات بشعار اليوم الوطني نحلم,هدايا,جدة,126.42,77,19880.489999999998
2023-09-20,دقلة اليوم الوطني,ملابس,الرياض,299.08,55,22837.08
2023-09-19,مجموعة 6 بوكسات,هدايا,الدمام,259.29,8,2111.1299999999997
2023-09-19,تيشرت خارطة المملكة مع اسم المنطقة,ملابس,جدة,449.37,95,11319.68
2023-09-15,سديري الهوية الوطنية,ملابس,الرياض,493.86,29,3570.12
2023-09-19,دقله اليوم الوطني السعودي 93,ملابس,الرياض,214.58,16,4431.6
2023-09-15,دقلة اليوم الوطني,ملابس,الرياض,77.81,7,6266.68
2023-09-19,سديري اليوم الوطني بالاسم,ملابس,جدة,156.78,13,7702.56
2023-09-17,أقفاص حلويات بشعار اليوم الوطني نحلم,هدايا,خميس مشيط,117.99,97,31930.45
2023-09-21,مجموعة 6 اكياس بهوية اليوم الوطني 93 مقاس 13*11*11 سم,هدايا,الدمام,432.77,22,28252.16
2023-09-19,شال اليوم الوطني السعودي 93 - الدرعية والعلا ( وشاح قماشي ),ملابس,الرياض,97.74,85,11942.7
2023-09-16,بربتوز ولادي اليوم الوطني 93,ملابس,الرياض,70.74,77,853.86
2023-09-18,تيشرت خارطة المملكة مع اسم المنطقة,ملابس,الرياض,393.9,59,39369.0
2023-09-20,لوقو اكريليك شعار اليوم الوطني93 (درزن عدد 12 قطعة),هدايا,خميس مشيط,451.1,83,21711.75
2023-09-21,بالونات اليوم الوطني 93 - 6 بالون أخضر,هدايا,جدة,196.21,13,46134.85
2023-09-17,شال نسائي اليوم الوطني,ملابس,الدمام,260.76,6,10870.64
2023-09-18,فستان اليوم الوطني السعودي 93,ملابس,جدة,61.84,55,7590.8
2023-09-20,تيشرت نحلم ونحقق,ملابس,الرياض,101.25,58,1365.09
2023-09-15,مجموعة 12 كرت حامل,هدايا,الدمام,400.28,45,14403.9
2023-09-20,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,خميس مشيط,384.14,7,960.7
2023-09-22,بروش سيفين ونخلة - ( معدن ),هدايا,الدمام,497.05,81,34850.06
2023-09-21,توزيعات شنطة الأناقة,هدايا,خميس مشيط,113.69,92,11618.65
2023-09-18,وشاح أخضر مطبوع بشعار اليوم الوطني93 نحلم ونحقق,ملابس,خميس مشيط,282.12,60,14438.880000000001
2023-09-22,بروش علم السعودية - ( معدن ),هدايا,الدمام,310.83,23,4541.66
2023-09-21,بشت اليوم الوطني,ملابس,جدة,469.34,62,290.53
2023-09-20,بالونات اليوم الوطني 93 - 6 بالون منوع,هدايا,الرياض,320.54,16,21749.699999999997
2023-09-17,شال اليوم الوطني (نحلم ونحقق),ملابس,الدمام,160.6,12,34669.74
2023-09-20,بربتوز ولادي اليوم الوطني 93,ملابس,الرياض,445.53,44,13805.88
2023-09-17,مجموعة 6 بوكسات,هدايا,خميس مشيط,156.9,96,12941.5
2023-09-21,شال نسائي اليوم الوطني,ملابس,خميس مشيط,425.67,10,42874.86
2023-09-22,دقلة اليوم الوطني,ملابس,الرياض,370.49,74,2543.66
2023-09-21,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,خميس مشيط,442.84,19,6708.0
2023-09-17,شال نسائي اليوم الوطني,ملابس,خميس مشيط,359.99,46,11303.04
2023-09-18,تيشرت خارطة المملكة مع اسم المنطقة,ملابس,خميس مشيط,474.86,15,5981.039999999999
2023-09-16,بشت اليوم الوطني بالاسم,ملابس,الدمام,127.91,54,12139.380000000001
2023-09-16,أقفاص حلويات بشعار اليوم الوطني نحلم,هدايا,الرياض,55.97,9,13075.5
2023-09-16,أكياس ميني أبيض بشعار اليوم الوطني93 نحلم ونحقق درزن(مجموعة 12 قطع),هدايا,الرياض,454.79,2,20563.89
2023-09-17,شال اليوم الوطني السعودي 93 - المكعب والفضاء ( وشاح قماشي ),ملابس,الرياض,290.53,10,5196.120000000001
2023-09-18,دقلة اليوم الوطني,ملابس,الدمام,236.1,45,12248.88
2023-09-22,شال اليوم الوطني السعودي 93 - المكعب والفضاء ( وشاح قماشي ),ملابس,الدمام,211.09,99,10259.43
2023-09-18,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,جدة,147.98,66,420.94
2023-09-16,جاكيت ولادي او بناتي اليوم الوطني 93,ملابس,الرياض,312.09,19,3141.6
2023-09-20,لوقو اكريليك شعار اليوم الوطني93 (درزن عدد 12 قطعة),هدايا,جدة,121.25,71,107.87
2023-09-21,بشت اليوم الوطني مزخرف,ملابس,خميس مشيط,181.76,81,19182.420000000002
2023-09-18,جاكيت اطفال اليوم الوطني,ملابس,الرياض,127.88,33,37047.78
2023-09-19,كوب قهوة - جيش التوحيد - اليوم الوطني السعودي,هدايا,الرياض,494.7,5,11402.720000000001
2023-09-19,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,الرياض,222.25,34,13553.15
2023-09-16,مجموعة 6 اكياس بهوية اليوم الوطني 93 مقاس 13*11*11 سم,هدايا,خميس مشيط,363.46,4,6038.7
2023-09-20,مجموعة 6 اكياس بهوية اليوم الوطني 93 مقاس 13*11*11 سم,هدايا,الرياض,310.33,75,1854.1799999999998
2023-09-16,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,الرياض,244.01,71,21766.95
2023-09-22,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,خميس مشيط,340.63,100,19001.67
2023-09-20,شال اليوم الوطني (نحلم ونحقق),ملابس,الدمام,209.49,24,5936.76
2023-09-20,دقله اليوم الوطني السعودي 93,ملابس,الدمام,379.74,64,14084.42
2023-09-20,سديري الهوية الوطنية,ملابس,الرياض,392.38,11,21563.52
2023-09-22,سديري الهوية الوطنية,ملابس,جدة,272.71,53,7409.07
2023-09-19,فستان اليوم الوطني السعودي 93,ملابس,الرياض,250.11,11,6691.2
2023-09-17,شال اليوم الوطني (هيا لنا دار),ملابس,خميس مشيط,84.4,73,19098.28
2023-09-21,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,جدة,495.69,32,17458.100000000002
2023-09-15,بروش سيفين ونخلة - ( معدن ),هدايا,خميس مشيط,452.98,14,14858.25
2023-09-17,سديري الهوية الوطنية,ملابس,خميس مشيط,165.6,79,182.56
2023-09-16,بشت اليوم الوطني,ملابس,خميس مشيط,381.42,73,576.48
2023-09-21,تيشرت خارطة المملكة مع اسم المنطقة,ملابس,الدمام,316.47,53,4318.0
2023-09-19,شال نسائي اليوم الوطني,ملابس,الدمام,342.13,68,704.34
2023-09-18,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,جدة,78.69,68,11815.34
2023-09-20,ستيكرات لاصقة (عدد 40)  شعار اليوم الوطني 93,هدايا,جدة,212.06,11,24035.79
2023-09-21,مجموعة 6 بوكسات,هدايا,خميس مشيط,361.82,83,1192.55
2023-09-15,بشت اليوم الوطني,ملابس,الدمام,140.38,73,41726.16
2023-09-22,جاكيت ولادي او بناتي اليوم الوطني 93,ملابس,خميس مشيط,243.13,57,11957.11
2023-09-22,ستيكرات لاصقة (عدد 40)  شعار اليوم الوطني 93,هدايا,الدمام,350.84,76,3886.08
2023-09-20,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,خميس مشيط,270.56,63,1153.9499999999998
2023-09-22,بربتوز ولادي اليوم الوطني 93,ملابس,الرياض,134.53,65,17395.07
2023-09-15,تيشرت نحلم ونحقق,ملابس,الرياض,301.0,66,16387.3
2023-09-17,سديري الهوية الوطنية,ملابس,الدمام,184.8,72,11721.710000000001
2023-09-20,أكياس ميني أبيض بشعار اليوم الوطني93 نحلم ونحقق درزن(مجموعة 12 قطع),هدايا,الرياض,305.57,37,5240.82
2023-09-18,مجموعة 6 بوكسات,هدايا,الرياض,155.89,78,15105.3
2023-09-17,شال اليوم الوطني (نحلم ونحقق),ملابس,الرياض,88.21,75,20168.2
2023-09-16,كاب بهوية اليوم الوطني 93 - قبعة,هدايا,الرياض,366.32,30,17154.81
2023-09-18,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,جدة,439.47,3,6081.950000000001
2023-09-17,بشت اليوم الوطني السعودي 93,ملابس,الرياض,453.3,45,8621.58
2023-09-22,دقلة اليوم الوطني,ملابس,الرياض,344.49,24,23300.72
2023-09-22,أكياس ميني أبيض بشعار اليوم الوطني93 نحلم ونحقق درزن(مجموعة 12 قطع),هدايا,خميس مشيط,302.18,100,13164.48
2023-09-15,عقال مقصب,ملابس,خميس مشيط,352.82,39,28373.690000000002
2023-09-20,دقلة اليوم الوطني,ملابس,الدمام,488.13,13,15550.460000000001
2023-09-20,عقال مقصب,ملابس,الرياض,362.76,82,16414.28
2023-09-18,عقال رجالي مقصب,ملابس,الدمام,154.1,36,7091.7
2023-09-15,بشت اليوم الوطني مع اضافه الاسم,ملابس,الدمام,180.79,72,41659.200000000004
2023-09-21,دقله اليوم الوطني السعودي 93,ملابس,الدمام,337.13,2,3208.08
2023-09-21,دقلة اليوم الوطني (اسود),ملابس,جدة,309.04,32,35465.4
2023-09-15,عقال رجالي مقصب,ملابس,خميس مشيط,472.37,78,19853.640000000003
2023-09-17,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,جدة,334.18,36,12580.92
2023-09-22,بالونات اليوم الوطني 93 - 6 بالون منوع,هدايا,خميس مشيط,182.04,30,45864.96
2023-09-16,بربتوز ولادي اليوم الوطني 93,ملابس,جدة,470.72,32,6462.54
2023-09-18,بشت اليوم الوطني مع اضافه الاسم,ملابس,الرياض,154.42,56,1228.08
2023-09-18,دقلة اليوم الوطني,ملابس,الدمام,283.26,24,8062.320000000001
2023-09-19,جاكيت اطفال اليوم الوطني,ملابس,جدة,232.9,96,9246.72
2023-09-22,شال نسائي اليوم الوطني,ملابس,الدمام,348.44,11,26733.0
2023-09-15,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,جدة,417.08,54,144.09
2023-09-15,بروش علم السعودية - ( معدن ),هدايا,الدمام,390.51,22,13919.4
2023-09-18,سديري اليوم الوطني بالاسم,ملابس,خميس مشيط,359.77,80,17775.14
2023-09-18,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,الرياض,232.06,78,17767.62
2023-09-16,دقله اليوم الوطني السعودي 93,ملابس,الدمام,370.39,78,8151.0
2023-09-15,دقلة اليوم الوطني,ملابس,الرياض,131.96,24,35343.68
2023-09-20,بربتوز ولادي اليوم الوطني 93,ملابس,الرياض,71.02,80,17301.75
2023-09-18,بروش علم السعودية - ( معدن ),هدايا,الرياض,496.14,71,13797.84
2023-09-16,فستان اليوم الوطني السعودي 93,ملابس,الرياض,446.65,78,5177.2
2023-09-15,توزيعات شنطة الأناقة,هدايا,الدمام,253.27,1,15459.699999999999
2023-09-22,عقال رجالي مقصب,ملابس,الدمام,180.0,91,4728.6
2023-09-20,بشت اليوم الوطني السعودي 93,ملابس,الدمام,100.48,73,18192.11
2023-09-21,بشت اليوم الوطني بالاسم,ملابس,الرياض,140.11,27,14982.3
2023-09-17,كروت حاملة للورد بشعار اليوم الوطني نحلم ونحقق,هدايا,خميس مشيط,213.64,63,13403.38
2023-09-19,بروش سيفين ونخلة - ( معدن ),هدايا,الدمام,299.27,90,11478.599999999999
2023-09-22,شال اليوم الوطني (نحلم ونحقق),ملابس,جدة,378.2,25,13485.150000000001
2023-09-20,بالونات اليوم الوطني 93 - 6 بالون أخضر,هدايا,جدة,67.96,83,9496.9
2023-09-22,بالونات همة حتى القمة مجموعة(5 بالون),هدايا,خميس مشيط,87.3,35,2004.6599999999999
2023-09-17,بشت اليوم الوطني بالاسم,ملابس,خميس مشيط,427.08,90,9301.550000000001
2023-09-20,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,الرياض,294.02,19,9726.93
2023-09-21,عقال رجالي مقصب,ملابس,خميس مشيط,481.35,57,41343.340000000004
2023-09-18,توزيعات شنطة الأناقة,هدايا,الرياض,416.41,78,45127.84
2023-09-15,بشت اليوم الوطني بالاسم,ملابس,الدمام,188.96,42,7546.99
2023-09-19,شال نسائي اليوم الوطني,ملابس,جدة,255.03,22,7868.57
2023-09-15,شال اليوم الوطني (نحلم ونحقق),ملابس,خميس مشيط,157.32,27,17895.9
2023-09-21,جاكيت اطفال اليوم الوطني,ملابس,الرياض,72.16,92,28990.86
2023-09-19,بروش سيفين ونخلة - ( معدن ),هدايا,جدة,270.39,29,36536.72
2023-09-19,بشت اليوم الوطني بالاسم,ملابس,جدة,379.42,7,11093.52
